county_name,fips_code,county_population
Anderson,48001,57922
Andrews,48003,18610
Angelina,48005,86395
Aransas,48007,23830
Archer,48009,8560
Armstrong,48011,1848
Atascosa,48013,48981
Austin,48015,30167
Bailey,48017,6904
Bandera,48019,20851
Bastrop,48021,97216
Baylor,48023,3465
Bee,48025,31047
Bell,48027,370647
Bexar,48029,2009324
Blanco,48031,11374
Borden,48033,631
Bosque,48035,18235
Bowie,48037,92893
Brazoria,48039,372031
Brazos,48041,233849
Brewster,48043,9546
Briscoe,48045,1435
Brooks,48047,7076
Brown,48049,38095
Burleson,48051,17642
Burnet,48053,49130
Caldwell,48055,45883
Calhoun,48057,20106
Callahan,48059,13708
Cameron,48061,421017
Camp,48063,12464
Carson,48065,5807
Cass,48067,28454
Castro,48069,7371
Chambers,48071,46571
Cherokee,48073,50412
Childress,48075,6664
Clay,48077,10218
Cochran,48079,2547
Coke,48081,3285
Coleman,48083,7684
Collin,48085,1064465
Collingsworth,48087,2652
Colorado,48089,20557
Comal,48091,161501
Comanche,48093,13594
Concho,48095,3303
Cooke,48097,41668
Coryell,48099,83093
Cottle,48101,1380
Crane,48103,4675
Crockett,48105,3098
Crosby,48107,5133
Culberson,48109,2188
Dallam,48111,7115
Dallas,48113,2613539
Dawson,48115,12456
Deaf Smith,48117,18583
Delta,48119,5230
Denton,48121,906422
DeWitt,48123,19824
Dickens,48125,1770
Dimmit,48127,8615
Donley,48129,3258
Duval,48131,9831
Eastland,48133,17725
Ector,48135,165171
Edwards,48137,1422
Ellis,48139,192455
El Paso,48141,865657
Erath,48143,42545
Falls,48145,16968
Fannin,48147,35662
Fayette,48149,24435
Fisher,48151,3672
Floyd,48153,5402
Foard,48155,1095
Fort Bend,48157,822779
Franklin,48159,10359
Freestone,48161,19435
Frio,48163,18385
Gaines,48165,21598
Galveston,48167,350682
Garza,48169,5816
Gillespie,48171,26725
Glasscock,48173,1116
Goliad,48175,7012
Gonzales,48177,19653
Gray,48179,21227
Grayson,48181,135543
Gregg,48183,124239
Grimes,48185,29268
Guadalupe,48187,172706
Hale,48189,32522
Hall,48191,2825
Hamilton,48193,8222
Hansford,48195,5285
Hardeman,48197,3549
Hardin,48199,56231
Harris,48201,4731145
Harrison,48203,68839
Hartley,48205,5382
Haskell,48207,5416
Hays,48209,241067
Hemphill,48211,3382
Henderson,48213,82150
Hidalgo,48215,870781
Hill,48217,35874
Hockley,48219,21537
Hood,48221,61598
Hopkins,48223,36787
Houston,48225,22066
Howard,48227,34860
Hudspeth,48229,3202
Hunt,48231,99956
Hutchinson,48233,20617
Irion,48235,1513
Jack,48237,8472
Jackson,48239,14988
Jasper,48241,32980
Jeff Davis,48243,1996
Jefferson,48245,256526
Jim Hogg,48247,4838
Jim Wells,48249,38891
Johnson,48251,179927
Jones,48253,19663
Karnes,48255,14710
Kaufman,48257,145310
Kendall,48259,44279
Kenedy,48261,350
Kent,48263,753
Kerr,48265,52598
Kimble,48267,4286
King,48269,265
Kinney,48271,3129
Kleberg,48273,31040
Knox,48275,3353
Lamar,48277,50088
Lamb,48279,13045
Lampasas,48281,21627
La Salle,48283,6664
Lavaca,48285,20337
Lee,48287,17478
Leon,48289,15719
Liberty,48291,91628
Limestone,48293,22146
Lipscomb,48295,3059
Live Oak,48297,11335
Llano,48299,21243
Loving,48301,64
Lubbock,48303,310639
Lynn,48305,5596
McCulloch,48307,7630
McLennan,48309,260579
McMullen,48311,600
Madison,48313,13455
Marion,48315,9725
Martin,48317,5237
Mason,48319,3953
Matagorda,48321,36255
Maverick,48323,57887
Medina,48325,50748
Menard,48327,1962
Midland,48329,169983
Milam,48331,24754
Mills,48333,4456
Mitchell,48335,8990
Montague,48337,19965
Montgomery,48339,620443
Moore,48341,21358
Morris,48343,11973
Motley,48345,1063
Nacogdoches,48347,64653
Navarro,48349,52624
Newton,48351,12217
Nolan,48353,14738
Nueces,48355,353178
Ochiltree,48357,10015
Oldham,48359,1758
Orange,48361,84808
Palo Pinto,48363,28409
Panola,48365,22491
Parker,48367,148222
Parmer,48369,9869
Pecos,48371,15193
Polk,48373,50123
Potter,48375,118525
Presidio,48377,6131
Rains,48379,12164
Randall,48381,140753
Reagan,48383,3385
Real,48385,2758
Red River,48387,11587
Reeves,48389,14748
Refugio,48391,6741
Roberts,48393,827
Robertson,48395,16757
Rockwall,48397,107819
Runnels,48399,9900
Rusk,48401,52214
Sabine,48403,9894
San Augustine,48405,7918
San Jacinto,48407,27402
San Patricio,48409,68755
San Saba,48411,5730
Schleicher,48413,2451
Scurry,48415,16932
Shackelford,48417,3105
Shelby,48419,24022
Sherman,48421,2782
Smith,48423,233479
Somervell,48425,9205
Starr,48427,65920
Stephens,48429,9101
Sterling,48431,1372
Stonewall,48433,1245
Sutton,48435,3372
Swisher,48437,6971
Tarrant,48439,2110640
Taylor,48441,143208
Terrell,48443,760
Terry,48445,11831
Throckmorton,48447,1440
Titus,48449,31247
Tom Green,48451,120003
Travis,48453,1290188
Trinity,48455,13602
Tyler,48457,19798
Upshur,48459,40892
Upton,48461,3308
Uvalde,48463,24564
Val Verde,48465,47586
Van Zandt,48467,59541
Victoria,48469,91319
Walker,48471,76400
Waller,48473,56794
Ward,48475,11644
Washington,48477,35805
Webb,48479,267114
Wharton,48481,41570
Wheeler,48483,4990
Wichita,48485,129350
Wilbarger,48487,12887
Willacy,48489,20164
Williamson,48491,609017
Wilson,48493,49753
Winkler,48495,7791
Wise,48497,68632
Wood,48499,44843
Yoakum,48501,7694
Young,48503,17867
Zapata,48505,13889
Zavala,48507,9670